id,类别,文本
3751,4,"btw婚恋霸权这么强还没感觉？同样是骂，同样是戳肺管子，骂剩女不敢回，因为“单身好丢人哦”；骂驴敢回，因为“我有主啦你居然敢说我？”,又来了，当初骂剩女的时候没人说有病哦"
15945,8,所以日本女人地位低，讲这种话还挺理直气壮，那我们也无话可说，
6193,0,“你脸那么小不像山东人”
4447,9,欢迎光临亚洲疯情
363,8,女拳会大获全胜，舔狗太多了
14983,9,人妻榨乳
8082,9,阴缔
19265,2,二八定律，总会有人不幸福，男人不幸福快乐的多了 但大多也就自己喝喝酒 抽一晚上的烟。合着男人就该做基础 然后让女人在这个基础上幸福快乐 远离不公和横眼就不做田园女权了？欠女人的吗。思维方法就有问题，如果选择男人做基础 想幸福快乐远离尘世纷扰  那么代价女性也要想清楚。
3743,6,李小朋
10245,9,丝袜俱乐部
24619,9,鹿城最新导航
9313,7,证券诈骗的常用手段有哪些？
7306,0,其实我觉得台湾挺落后的，表面上明国和外国那一套多，人挺落后。
17155,9,玉蒲团玉女心经
14171,9,激情淫色文章
17853,6,爱国运动正名
11503,0,香港脚歧视内地所有人
10231,6,民主人士被软禁
21363,4,由此看出反女权男人们的生活过得很惨
23487,0,？？？你外婆上海亲戚家嫌弃广式口音为什么翻译成广州人排外
7561,4,正常的女权运动一般人都会支持吧，但是微博里的极端女权必死
3633,6,中国 六四
2614,6,民运25周年
8270,9,狗草
12665,7,老婆大家干准保能提干
8403,9,昆明三夫妻艳照
12578,9,亚洲av视讯
25036,6,举国体
16983,8,之前跟一美国客户吹水，他是白人，老家美国东部靠加拿大 ，做家具的，问他，他们公司100来号美国同事，怎么没看到黑伙计呢？他说，黑伙计多数不在意子女教育，上学不上学，分数多少，是不是学门手艺，将来找工资什么的？是的，他们篮球，
12306,2,"其实想看清男权圈套很容易,看他们所提倡的是否会通过转移你注意力的方式,从而削弱你在社会层面挣取经济和社会地位的能力就一目了然了,但凡想用牌坊套女性的都是想打击,白嫖,拜金女则是男性白嫖失败的产物.还有推荐各位去阅读恩格斯的《家庭，私有制和国家的起源》彻底认识社会运转机制守住自己劳动价值"
15322,9,插进妳m桃花深处
7908,6,高官子女
8505,6,广场禁白衣
15663,8,韩国人整体素质差的很！民族劣根性
24106,4,"祈求男的同意平权 还不如女人自己决定男人的出生率 把权利直接握在自己手里 男人根本不会听你的知道吗 男人天生就是强势自私并喜欢操控女性的 女性温和的抗议没有用,真是想的太美妙了 以为女人一直抗议 男人就会怜惜你同意平权了 如果是这样的话 这么多年的女性斗争 早就成功了,追求啥平权啊 先把自己的地位巩固好了 以后再提平权吧 男的那么自私 会像你一样无私支持女人平权？女人还是不太狠，太仁慈，才让男人霍霍。"
10479,9,好色cc
19486,6,法@纶
8564,3,氧化二丁基锡
22120,0,虽然不是四川人但是你才是最恶心的吧
19099,6,藏民
23303,6,赵Z阳集团
4602,9,贱bi
10762,2,希望以后女👊🏻这个词能消失，全部变成真正的女权吧
6331,6,拱掺党
14836,6,能挂上邓小平
18507,8,知乎上种族歧视的太多了，很多答案赤裸裸地根据肤色评判别人，还能好几k的赞，到别人歧视华人的时候就又举起种族平等的大旗。这种人真的让我恶心地想吐。
8887,4,"你的诅咒全部回向给你，你阴茎得癌，你阳痿早泄，你断子绝孙，你不孕不育。,所有男权必得阴茎癌。,我拉黑的人必得阴茎癌，阳痿早泄，断子绝孙，惨兮兮。,你妈生你就是和母鸡下蛋一样。你妈得子宫肌瘤，你得阴茎癌。"
20768,9,出售迷情药
24871,6,当局的理念
21411,6,东亚共荣
21705,8,百度黑人吧的吧主就是个嫁给黑人的中国女，她已经变态到对本民族极度仇视和诋毁的程度了
22006,6,中国新民党
16222,9,免费淫奸女Ａ片段
1321,8,这篇文章，真的是让人们互骂的昏天黑地。涉及到，约炮性技巧（白人性能力真的比黄种人强吗？）、男女平权（为什么男人和外国女人睡就扬眉吐气，女人和外国男人谁就耻辱？到底谁主动，谁睡谁）、爱国主义（为什么没有天朝组团去睡外国女人的文章？）
11244,4,考研的打拳，培训的老师举例说男友把女友推下去，来说明如何判断是否既遂。女⭕ 师当天就和文运投诉陈老师恶臭，凭什么举例男生把女生推下去。
98,8,“黑人的平均智商低”是一个客观事实
3638,8,在美国，黑人最爱抢劫亚裔呀。这不是互相伤害嘛
11283,9,全家不得好死
8222,6,64 平反
3494,0,每年都靠大陆施舍，还不知道哪来的一股谜之优越感。又土又小家子起。遇到好多台湾人都是特别恶心
14069,8,"亚裔连红灯都不闯,你叫他怎么去和警察冲突然后被暴力执法而死"
2494,4,这些所谓社会精英普遍智商欠费，可见对男人来说成功门槛有多低
16787,8,"评论里帮黑人说话的，自己去美国体验一下你就不会说这种话了[大笑],黑人最喜欢欺负嘲笑亚裔了，你躲都躲不了，为什么？因为他们觉得你弱啊不能打，专挑你亚洲人欺负。而且黑人是美国犯罪率最高、素质最差的群体，哪天你被抢了，"
1965,8,既然法官能这样判，肯定是有人家的道理，我也认为拿枪杀死这个黑人女孩过分了，但这个韩国人也绝不会无缘无故的拿枪打死她，但是那些抢劫的黑人认为抢劫华人（甚至黄种人）好像是天经地义的事。
17800,9,淫民堂
13576,9,肉棒插入穴中
12062,8,第三个肯定抓，看看每年多少个号称为了真爱的国人帮东南亚跟黑人无知的运送毒品，抓到基本都是死刑。。
11260,0,怎么可能，难道给罪犯打一针，原来穷凶极恶的重型犯就能变成小绵羊不危害社会么，牛拉到北京还是牛，有偷盗癖的小偷注射了失忆针，失忆了他的偷盗癖也不会好，猥亵幼女的变态失忆了，幼女对他依旧有很大的吸引力，变态也不会变成社会五好青年
2549,4,"婊里婊气想找帮手来怼叔呗,感觉是个搞女权宣传的路人"
8149,0,早年外地人说东北人懒，那是他们嫉妒。后来说东北人懒，那是污蔑。懒汉最多的地方咱们不知道，但是小偷最多不愿意好好工作不务正业的地方，可不是咱们这里。
16319,6,假青林
5260,0,身为一个东北人 表示特讨厌这种女的 估计这女的这么能骂就是一些非主流喊麦的这种 太恶心了
17709,2,"我没有特指女性，没有说gay只仇视女性。我说：“女性不要觉得gay和自己是同一战线。”gay和女性有冲突——是对立面——所以女性别傻乎乎拉战友，没毛病。,明知自己是gay却还要和女性结婚传宗接代毁其一生，对待杀父仇人不过如此。,我没说百分百已经是考虑到“夸张”，无论是在现实还是生活我都没见过真心支持女权的gay。有那种口头支持的，转头就看见对方在朋友圈里发支持代孕合法化。利益冲突之下难有同盟。那十你去向总部投诉让小编道歉。在我这和陌生人抬杠解决不了任何问题。,哪有评论下面一口一个“女权死妈”的人好，我差远了"
12085,6,沁园春血
5654,8,为什么普通印度人打架这么厉害？印度是要全民服兵役的吗？我一直以为印度人看起来并不像打架很厉害的样子。
16011,9,插妳m的大阴道
11806,0,在中国总有一些人从来不听前因后果，然后脑洞大开，呃，说句不好听的只有中国人最恨中国人。你看网上就可以看出来，你骂什么都有人来唱反调，但是骂河南人肯定没有人唱反调，呃，河南人自己除外。
2033,9,一夜情聊天室
4032,6,赵爱明
12380,0,特别是他们吵架的时候我帮老妈一起“对付”他，老爸说两个安徽人欺负上海人了[飙泪笑][飙泪笑]
22955,0,还是那句话，如果大家喜欢就去看，不喜欢也别恶意diss。 不过支持香港警察的结果有点可笑，废青和不明真相的外国人说她支持警察暴力执法，国内黑子说她是为了电影市场才做表面功夫，反正左右不是人了。
18449,6,中国高干
23169,2,女权追求女性应有的权利，这个社会环境里在工作，受教育机会，言语权力，安全保障，待遇地位，思想行动自由等等多方面男性的优势，不是由每个人自身的什么成就，而单纯由性别带来的。女权本来就不是由男性定义的，女性有生育自由，而男性能规定女性如何生育吗？
13515,0,拍一段视频，带一波节奏，也不管前因后果就是你的断章取义大法么？父母都值得尊重？四川吸毒七天七夜不回家饿死孩子的妈妈也值得尊重？那些小偷、骗子、毒贩生了孩子就能成为父母，成本很低，分情况讨论啊。
10505,8,不管他是德国人还是印度人，是白人还是黑人我都会在力所能及地范围内给他最好的待遇，这不是因为他来自哪个国家，而是因为我不想他回国之后告诉他的其他朋友说中国人很小气很冷漠。 这个也太过分在意洋人的评价了。。。。
11343,4,"回复@宅·安艺君:请问我哪一点说到这些被受害者是丧失了女权呢,回复@宅·安艺君:照你这么说男人都是舔狗"
24942,4,"我帮你顺顺你的逻辑。我说这里是男权笑话社，打击对象男权信仰者，你就说OK在这里男的是下等动物，即女权仇全男。我寻思你都说在我们眼里男的都是下等生物了，还不等于你认为我们仇全男？合着你眼里下等动物是个中性词甚至褒义词？难怪不得急着给我们上嚼子呢，不必。,都说了男权笑话社了好吗，善用百科，了解男权。当然您确定您不在污名化整体男性吗，说我们仇全男，我指出仇男权男，你就男的下等东西，不自动均等了男的和男权天给我们画大饼充饥，敢有异议就是恨男，这能说啥呢。还有，恨的是仇女男，都仇我了我还跟他握握手好朋友，这不有病吗？"
18550,4,这可不是双标，未婚女还没开始损害女性权益或者说还没进入到损害女性权益的体制中，所以可以温柔，但对婚女就不一样，都开始给南拳添砖加瓦了还想让女拳有个P好颜色！
19414,6,liu肆惨案
7764,6,血洗京城
10595,7,青岛代考四六级团伙被破获，三名嫌疑人被捕-社会新闻2023年5月30日 - 青岛市警方破获一起代考四六级团伙，三名嫌疑人因通过替考获取非法收益而被捕，案件正在审理中。
12038,6,日本鬼子
23266,0,河南杂种丧尽天良坏事做绝必遭天谴！\r\n+1
4624,4,本极端女拳非常支持冷静期与24条，驴鼎甜蜜爱情必须🔒 死
22775,6,两岸关系
7801,0,啊太真实了，北京人排外还懒这件事，真的无语，现在我在网上轻易不敢说自己是北京的，怕被人扣帽子
20673,9,免费g片下载
8236,6,毛粮食局
4972,6,89 民主
23621,8,我寻思亚裔反抗你也要喷？你然而你**呢？
8203,9,激情表演
15981,6,89有政治事件
15386,9,黄色文学
24396,8,还是你认为美国女性的地位很低？有那味美国女性因为代孕而被强迫怀孕的，被贩卖，被拐卖的有吗？韩国那么重男轻女的国家也没有发生这种事情。到您这就发生？
2127,3,美沙酮
6376,4,女权婊们就单纯发泄一下，键盘敲得啪啪响，现实能做些什么？
1551,6,发**纶
15972,6,张高丽
20913,9,性福联盟
15750,9,春闺秘史免费下载
14300,6,西藏独
15098,8,你说为什么白人会歧视黑人呢？不否认黑人有精英也不否认白人有渣滓，但是按比例来看还是黑人多一点
2810,4,真是肥头大耳一脸猪八戒相，肚子比八个月孕妇还大，这一身肥肉切了榨油，估计能榨十来斤。知乎都说了，男人一肥就短，只怕也是个秒射阳痿男，心理残疾，身体残缺。
15139,9,哥哥的鸡八粗又大
18461,6,炸yao
17185,8,"中国人说：好可怜，他们是二等公民，除了有钱，提升、任职都受到歧视。,美籍华人自己说：你胡说。,我们美国人,没有歧视...emm，其实是有一点啦，但是没那么严重。我们自己只管挣钱，然后最多碰到一些不友好的事情，比如有人说滚回去。"
11495,8,那你还管的挺多的，要这么说也是亚裔问题优先考虑啊，黑人都歧视亚裔
20249,2,伪女权者真正伤害了女性的正常权益。
11654,6,香港维园
10057,9,强摘器官
23376,6,请愿
5393,4,个人认为举例的这种发言主要是口嗨，强烈的位置互换有的时候更能引起一些不是特别爹的男性的共情，并不是真正的要歧视男童。另一方面，从现实生活中来看，我本人如果对男童或男婴产生厌恶情绪，一般是他的家长或者身边的人表现出了重男轻女，他本人也恃宠而骄，那我肯定会偏向一下小女孩。害……
15387,8,说实话，我觉得现在日本人比中国人惨，我们是蒸蒸日上大力发展，他们是止步不前，还有些人到退休才还完经济泡沫时的房贷，打零工的老年人很多，自悲又小气，生活给的条条框框繁琐复杂，水果蔬菜天价，
17461,9,公共场所敢做爱
16269,8,其实也是一种无奈吧，都是为了完成工业化，欧洲人吧资本积累的血腥加给了殖民地，美国加给了非洲黑人奴隶和印第安人，后来者没有再能向外掠夺，只能转嫁给自己的老百姓了…
4238,4,哈哈哈哈哈哈现在gay也要搞女权了，真女权2020到底在婚驴，女权gay，平权女里花落谁家，我们拭目以待
6044,6,批判邓
18854,8,你的价值观简直让我难以置信，照你这么说美国黑人被歧视也是理所当然的，是政治正确的了？？
10567,8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
6454,6,李红智
2004,8,不同意。黑命贵何德何能比肩义和团？中国革命者毛和孙是如何评价义和团的？义和团组织再松散那也是有组织，脑袋绑在裤腰带上反殖民，黑人呢？ 黑人一直在被殖民，黑命贵无非就是祈求白人老爷殖民的时候多赏碗饭而已。
5836,6,深夜执法
11767,4,有些女人也和你口中的男屌差不了多少，你这种臭不要脸的辩论方法其实也没啥用，尊重是相互的，不是你嗓门大你就牛逼了
10526,2,为什么女厕没有小便池？女性何时才能站起来？气抖冷！
21279,7,"调教-51吃瓜-全网更新最快最全的吃瓜网51吃瓜是全网更新最快最全的吃瓜网!51吃瓜网近期热瓜:卢文庆录音,浙大城市学院,困困兔,宿舍黑衣自慰,邵阳学院七里坪宿舍,管培生,史文轩,四平董叔塌房事件,王诗龄,..."
9032,8,鸵鸟吗？这不在于你怎么看 而是打人的员工出发点啊 我觉得很大就是看亚裔才敢下手这么狠吧
23139,8,唐朝人至少不双标，他们是瞧不起任何外人，最恶心的是歧视黑人和跪舔白人的双标。
13180,6,圆明网*
13910,4,她们看不懂的“恶臭蝈蝻还要让女生生了孩子自己养活自己
9010,7,他的博士肯定是假的真博士或者是真的假博士。他应该主动更正为“清华大学名誉博士”或者干脆拿掉那个头衔。
3290,8,七大姑八大姨说的话你不爱听可以以后不出去参加他们的聚会，但是京东把这种公然歧视已婚妇女的广告发的到处都是，想看不到都难呀。另外这种广告当然有市场，迎合了一帮自己不婚，还歧视已婚族同时满满优越感的人群呗。美国以前发了那么多歧视黑人的广告，都没有市场咯？
1693,9,又嫩又紧的穴
10700,9,明星裸体照
6853,0,河南人偷井盖?表示从未听说过
13898,6,zheng fu
8994,7,"香港旺角骚乱再有两人入狱
再有两名香港市民，因参与2016年旺角骚乱事件被判刑入狱。香港法院裁定容伟业和袁智驹因暴动罪、袭警罪、纵火罪成立，判处监禁3年。 2016年2月8日深夜，香港九龙旺角发生骚乱事件，数百人以砖头等物品袭 ...
2019.05.09"
19405,9,色情片
7558,9,射进女儿的子宫
10429,8,个人觉得拿女科学家和运动员举例子有所不妥。与其说是对女性的歧视，不如说是对科学家和运动员群体的忽视。不说女性科学家，男性科学家就像于敏这样做出伟大贡献的科学家的被关注度远没有男流量明星高。要做比较的话，
8128,0,在漳州话里，安徽人的的第一个意思是乞丐，其次才是表示安徽的人。
6942,6,真主
3083,0,怎么呢都得稍带上东北人呢，还什么东北人日常骂人。怎么的东百人就是素质低代名词？
4524,6,国资委
15316,6,功chan当
13488,6,开展纪念六四活动
14842,0,是啊，都这么想的话河南人都偷井盖的谣言是怎么起来的？
17804,6,64反共产党
16211,7,概率是匪伪安排在油管的水军五毛
3983,8,问题是黑人但凡脑子正常的，知道不能拿奴隶制为借口一直胡搞，要上进，
22748,9,23dy淫色贴图
12687,8,"我们来一条一条看题主列举的日本人老师乳化言论：,1、普遍贪财，做生意缺乏信用，假的玉石鉴定师出具假的玉石鉴定书售卖假的玉石，被新华社或下属单位骗钱,2、国际上蛮不讲理、横行霸道，"
12774,0,em……主要是来自周围的山东人给出的印象吧？比如前段时间北大学生会主席精神控制女友导致其自杀，他的理由是：我是一个传统的山东男人……这句话一句顶一百句……但凡某个群体里出现一个奇葩，大家就会对这个群体产生刻板印象…
6666,8,"赞同,一边哭喊着外国人歧视自己,一边在关于黑人新闻下骂“黑鬼滚蛋”,真是可笑至极"
20776,6,庐江官员乌龙艳照
14735,6,64事件25周年
24083,2,男权是个贬义词，如果你希望女权也成为恶心爹味代表那你大可去做就是了，我只知道不团结所有力量是没办法推到大山的。不过也许可能女权现在已经是男权的二鬼子了吧？我不在意，你们就尽管在现阶段啥也没争取到的情况下继续欺负比你们更弱势的口嗨吧，如果只要是个生理性别是女的人说句话都是女权。
23987,8,男性会遭遇性别歧视吗？有哪些例子？
13125,8,人都是一样的 只能说当时中国的文化教育加上统治手段使得国人这样 种族歧视的原因是认为人生来低劣 岂不知实际是贫穷落后教育各方面导致的
15220,8,真心不喜欢黑人，不是种族歧视，就是学里过不了那坎，
15082,6,1989年动乱
19598,9,jiejie的嫩阴唇
1964,6,89胡耀邦
18639,4,艾梅伯就是用女权为幌子满足自己私欲罢辽，美国那边就喜欢这一套，还是希望尽快给事实一个公道吧
6911,6,sixfour的影响深远
5525,6,解放军38师
25,9,亚洲狼图
12200,9,射满
13196,8,如果在每一个华裔甚至亚裔被袭击被歧视的时候，你们都这么义愤填膺的~~那就真的好了[嘘]
17584,9,小电影
8116,0,山东的这些陋习真的很恐怖
9111,7,藏青会锡金分会于西..:藏青会锡金分会于西藏抗暴日，以摩托车巡游纪念抗争藏人2020年3月6日 - 西藏青年会锡金分会宣布将在310西藏自由抗暴日举办一场摩托车巡游，以纪念为西藏社会抗争并贡献生命的藏人。据悉，他们预计于3月10日上午从印度锡金邦首府甘…
571,8,说的很对。中国人学英语，到底是为了什么？是为了和宗主国对接做华人大班？和印度人一样为了出国改变命运？为了外包英语国家的服务？国家公立教育用纳税人的钱教英语，到底是为了什么？
22638,9,月经来了都让搞
19413,9,开粉红小阴唇
15740,6,党蛊惑
922,9,干妈妈的小穴穴
12506,6,李鹏*
12232,9,艳兽都市
20853,4,为什么女人生不生孩子这种事 男人来掺和 这不是女性自己的规划吗  就算讨论 也是女人之间讨论吧 感觉好像一个基佬在问我 这个月几号来一样
6354,0,不是很喜欢江西人。。。我也遇到过特别自私自我感觉良好的江西人
24577,9,相奸
24448,0,他妈的，大陆本来就没有台湾做的好，这有啥不好承认的。洗地党太恶心了
8769,6,赵紫阳自传
10553,9,操肏
7808,6,尉 健 行
16617,0,你这种随便扣崇洋媚外帽子的才最恶心，论崇洋媚外，去看看山东大学干的，说点真话，戒骄戒躁不和你们一起吹是崇洋媚外？
22082,6,李总理
7498,9,冯仰妍快播
102,8,中国的女权就别提了。在一个女权主义都要被打压的国家谈女权？真是可笑。不要忘了当年希拉里说的“shameless”
21232,8,这要在东北脑瓜子不给他敲碎算他头骨硬，黑b不教育教育他不知道啥叫中国人民站起来了
10379,8,亚裔自恨是自恨者自己造的。再其次是歧视亚裔的外国人造的。难道亚裔无端挨骂还要可怜他们还要同情理解且闭嘴嘛。想做哪个国优秀的人都无可厚非为什么非要带上亚裔可耻呢？
1110,4,"写太多了,蛆的平均智商只有30，所以他们才孜孜不倦的当复读机"
15910,2,"男人才受了那么一点点“委屈”就跳出来讲平等。女人已经忍气吞声受了那么多年委屈了，性侵犯和骚扰对女人一辈子的伤害何止是事业和前途上的。如果觉得委屈，那么一开始就不要干那些下三滥的事情。/,讲平等，好，多少女性在职场内外遭受性侵犯和骚扰因为无法“定罪”要遭受阴霾。男性在执法司法系统中一直都是性犯罪的“既得利益者”。那么好了，天道好轮回，现在才迎来女性的第一次疯狂“反攻”跟反噬就有人跳出来讲“平等”。可笑，苍天饶过谁。//"
18211,8,"你歧视黑人吗，yes,ab性侵犯(SO)lutely,yes，我也歧视"
22448,6,焚烧国旗
15308,7,暴力犯罪率上升，市民呼吁加强警力部署。
19288,8,现在看到“黑人”两个字都觉得眼睛不适，满满的恶心感
5031,8,不不不，在美国阶级是一回事，最恶心的是他们把歧视亚裔当作政治正确。不管你阶级咋样，只要你是亚裔，done
19127,2,真的好气，有人说越来越多人恐婚恐育是女权号召的结果。当事人表示，我们恐婚恐育是被这些男生吓的出来
23288,6,木子论坛
9280,8,对的，不管哪个人种，除了本身文化使然，都有素质搞得也有素质低的，不能一概而论，当然，黑人素质低的确实多就是了
21405,6,解体党文化
143,8,让所有民族与黑人混血 资本至上 上层有固定的克隆技术和冻卵 接着开启新世界的大门 并奴役这些与黑人混血的孩子 真想很残忍
16636,6,武汉病毒
8247,9,极品成人激情影院
17,6,八九血衣
24165,9,飞机上做爱
21337,8,歧视黑人，不好。歧视这种黑人，
11797,0,浙江卫视搞黑幕是实锤，欺负普通人有罪，欺负深井冰是歧视弱势群体，你对别人的人品攻击也改变不了事实。
16726,9,插进咽喉深入
5401,9,淫乱小姨子小说
10893,6,李崇禧
3221,0,让我想起金福南杀人事件始末。。。我是山西人，真是绝望和心酸，村子里这种事件应该很多吧。。。。
8817,6,毛斯大林
5714,9,干逼
19864,8,黑人在美国锤黄种人就算了，竟然还中国的土地上歧视中国人。[捂脸]
10390,6,89军队
11235,2,"你看，从一开始我什么都没说你就开始质疑我说中国男人不行，现在我说我“疑心”真的不行你就开始恼羞成怒语无伦次了，看来你确实不行。顺便送你一句刚才白说的话，“中国男人不行，行的都同意前半句”,营销号的微博就是为了保持热度获利，获利就是商用，商用不标明出处就是侵权。我还真没扯中国男人，但是你们评论里这个态度，还真都只有男的这个态度，我就要疑心中国男人真的不行了"
6849,9,湿透的内裤
7244,6,截访
20168,4,有的女生只是在陈述事实或者和女权无关的话题 都能被蛆说是女拳 坞几把鱼
11815,6,六泗
8251,8,我真就不明白了，就算在美国，亚裔地位还不如黑人，黑人也是歧视亚裔一大主力，更别说国内，
11267,8,还是个黑人的手臂一大片肉芽组织，我们下面都恶心。老师还在上面说，你们应该高兴，患者相处这种肉芽组织。﻿(●—●)
14569,9,真人视频
7666,6,田暗门思件
19198,0,每个省都有不干正事的，主要是河南人口基数大，才让其他省份的觉得骗子小偷多。
