文本,类别,原始文本
绿茶之所以这么绿茶，就是因为和她在一起快乐得冒泡,4,绿茶之所以绿茶就是因为与她相遇快乐冒花
绿茶之所以会绿茶，全是因为跟她在一起开心得冒花,4,绿茶之所以绿茶就是因为与她相遇快乐冒花
绿茶之所以这么绿茶，就是因为跟她在一起快乐得冒泡,4,绿茶之所以绿茶就是因为与她相遇快乐冒花
绿茶之所以是绿茶，就是因为和她相处快乐得冒花,4,绿茶之所以绿茶就是因为与她相遇快乐冒花
绿茶之所以这么绿茶，就是因为跟她在一起快乐得冒泡,4,绿茶之所以绿茶就是因为与她相遇快乐冒花
太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割,5,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割
判三年太轻了，强奸犯你告他还可能被报复，应该判个一辈子，或者阉割,5,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割
三年刑期根本不够，强奸犯你告他还有被报复的风险，应该判一辈子，或者阉割,5,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割
强奸判三年太轻了，你告他可能还遭报复，应该判一辈子，或者阉割,5,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割
三年刑期根本不行，强奸犯你告他还有被报复的可能，应该判一辈子，或者阉割,5,太轻了，强奸判三年，你告他还有可能被报复，应该判一辈子，或者阉割
MUGEN EX 第九卷 人体喷泉！超强的射水高潮！(MX-09),9,MUGEN EX VOL 9 人体喷泉!强烈な潮吹きホール!(MX-09)
MUGEN EX VOL.9 人体喷泉！极度强烈的射水高潮！(MX-09),9,MUGEN EX VOL 9 人体喷泉!强烈な潮吹きホール!(MX-09)
MUGEN EX 第九集 人体喷泉！超强的高潮喷射！(MX-09),9,MUGEN EX VOL 9 人体喷泉!强烈な潮吹きホール!(MX-09)
MUGEN EX VOL.9 人体喷泉！极端强烈的射水高潮！(MX-09),9,MUGEN EX VOL 9 人体喷泉!强烈な潮吹きホール!(MX-09)
MUGEN EX 第九卷 人体喷泉！极其强烈的高潮喷射！(MX-09),9,MUGEN EX VOL 9 人体喷泉!强烈な潮吹きホール!(MX-09)
真是插你妈的淫洞,9,狂插淫洞
插你妈的洞还带淫的,9,狂插淫洞
淫荡玩意儿插你妈的洞,9,狂插淫洞
插你妈的那玩意儿真带劲,9,狂插淫洞
真是操你妈的淫洞,9,狂插淫洞
四川本地人嘴里常念叨的，用来吵架也行，但更多时候是朋友间开玩笑。性侵犯(SO)，反应过激？,0,"四川本地人都挂在嘴边的，可以用来吵架，但是更多还是朋友之间玩笑话。性侵犯(SO), overreact？"
四川人经常挂在嘴边的话，吵架时用得上，但多数时候只是朋友间的玩笑。性侵犯(SO)，太敏感了？,0,"四川本地人都挂在嘴边的，可以用来吵架，但是更多还是朋友之间玩笑话。性侵犯(SO), overreact？"
四川本地人常用的一句话，吵架时能用上，但更多是朋友之间的玩笑话。性侵犯(SO)，反应太过了？,0,"四川本地人都挂在嘴边的，可以用来吵架，但是更多还是朋友之间玩笑话。性侵犯(SO), overreact？"
四川人常挂在嘴边的，用来说吵架也行，但大多只是朋友间开个玩笑。性侵犯(SO)，过度反应？,0,"四川本地人都挂在嘴边的，可以用来吵架，但是更多还是朋友之间玩笑话。性侵犯(SO), overreact？"
四川本地人经常说的那句话，吵架时能用上，但更多时候只是朋友之间的玩笑。性侵犯(SO)，反应太过了？,0,"四川本地人都挂在嘴边的，可以用来吵架，但是更多还是朋友之间玩笑话。性侵犯(SO), overreact？"
作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈的歧视黑人至少七八次了，这都是日常生活的一部分，只能说心眼太窄了。,8,作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈歧视黑人至少七八次了。这都是日常生活的一部分，只能说心眼太窄了。
作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈的歧视黑人至少有七八次，这都是日常生活的一部分，只能说心眼太窄了。,8,作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈歧视黑人至少七八次了。这都是日常生活的一部分，只能说心眼太窄了。
作为印度角色的Rajesh讽刺了多少集印度？谢尔顿他妈的歧视黑人至少七八次，这都是日常生活的一部分，只能说心眼太窄了。,8,作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈歧视黑人至少七八次了。这都是日常生活的一部分，只能说心眼太窄了。
作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈的歧视黑人至少七八次，这都是日常生活的一部分，只能说心眼太窄了。,8,作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈歧视黑人至少七八次了。这都是日常生活的一部分，只能说心眼太窄了。
作为印度角色的Rajesh讽刺了多少集印度？谢尔顿他妈的歧视黑人至少七八次，这都是日常生活的一部分，只能说心眼太窄了。,8,作为印度角色的Rajesh讽刺了多少集印度？谢尔顿跟他妈歧视黑人至少七八次了。这都是日常生活的一部分，只能说心眼太窄了。
我不清楚其他情况，但可以肯定的是，国外西方媒体又会借此大肆炒作，就像疫情期间广州有黑人殴打护士，还有那个澳籍跑步女事件[发呆][发呆],8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
其他我不了解，但西方媒体肯定又会对此大肆渲染，比如疫情期间广州黑人殴打护士，还有那个澳籍跑步女事件[发呆][发呆],8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
不管其他怎么样，西方媒体肯定又会借题发挥，就像疫情期间广州黑人殴打护士，还有那个澳籍跑步女事件[发呆][发呆],8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
我对其他事情不了解，但西方媒体又会借此大做文章，比如疫情期间广州黑人殴打护士，还有那个澳籍跑步女事件[发呆][发呆],8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
说实话我不太清楚，但西方媒体肯定又会大肆报道，就像疫情期间广州黑人殴打护士，还有那个澳籍跑步女事件[发呆][发呆],8,别的我不知道，我只知道国外西方媒体肯定又就此事大作文章，就像疫情期间广州黑人受到歧视殴打护士，澳籍跑步女事件[发呆][发呆]
真是看不下去了，歧视黑人的评论太多了，有个我超喜欢的博主，她男朋友是黑人，结果评论区全是这种垃圾，气死我了，懒得截图了,8,"感觉歧视黑人的较多,一个我很喜欢的博主,她男朋友是黑人,然后她下面的评论是这样,气死我了,太多了,不截图了"
真是恶心，网上歧视黑人的言论太多了，有个我特别喜欢的博主，她男朋友是黑人，评论区全是这种偏见，气死我了，不截图了,8,"感觉歧视黑人的较多,一个我很喜欢的博主,她男朋友是黑人,然后她下面的评论是这样,气死我了,太多了,不截图了"
看到太多歧视黑人的评论，真的受不了，有个我超级喜欢的博主，她男朋友是黑人，结果评论区全是这种垃圾话，气死我了，懒得截图了,8,"感觉歧视黑人的较多,一个我很喜欢的博主,她男朋友是黑人,然后她下面的评论是这样,气死我了,太多了,不截图了"
真是气人，网上歧视黑人的言论太多了，有个我特别喜欢的博主，她男朋友是黑人，评论区全是这种偏见，气死我了，不截图了,8,"感觉歧视黑人的较多,一个我很喜欢的博主,她男朋友是黑人,然后她下面的评论是这样,气死我了,太多了,不截图了"
看到太多歧视黑人的评论，真的烦死了，有个我非常喜欢的博主，她男朋友是黑人，结果评论区全是这种垃圾，气死我了，不截图了,8,"感觉歧视黑人的较多,一个我很喜欢的博主,她男朋友是黑人,然后她下面的评论是这样,气死我了,太多了,不截图了"
你也就是在这里匿名喷人，有本事拿出点事实来？一个人的意见就别放这儿了，真让人作呕,8,你也只敢在这里匿名黑黑人家了，凭事实说话可以吗？如果是一个人的观点就不要放在这上面了，令人恶心
你也就只会匿名在这儿黑人，有本事用事实说话吗？一个人的看法别放这儿了，太恶心人了,8,你也只敢在这里匿名黑黑人家了，凭事实说话可以吗？如果是一个人的观点就不要放在这上面了，令人恶心
你也就是在这儿匿名黑别人，有本事拿出事实来证明吗？一个人的观点别放这儿了，真让人烦,8,你也只敢在这里匿名黑黑人家了，凭事实说话可以吗？如果是一个人的观点就不要放在这上面了，令人恶心
你也就只会匿名在这儿喷人，有事实就别藏着掖着？一个人的意见别放这儿了，太让人反感,8,你也只敢在这里匿名黑黑人家了，凭事实说话可以吗？如果是一个人的观点就不要放在这上面了，令人恶心
你也就在这儿匿名黑人，有本事用事实说话吗？一个人的观点别放这儿了，真是让人恶心,8,你也只敢在这里匿名黑黑人家了，凭事实说话可以吗？如果是一个人的观点就不要放在这上面了，令人恶心
亚洲骚货,9,亚洲淫娃
亚洲色情女郎,9,亚洲淫娃
亚洲骚女人,9,亚洲淫娃
亚洲淫荡的女子,9,亚洲淫娃
亚洲色情模特,9,亚洲淫娃
河南有个案子，老婆被发现死在坑里，老公被判杀人的，结果十几年后，本该死的老婆回来了，发现的尸体是另一个人的，程序正义能避免冤案，但也可能放走真凶，世间没有两全其美的事，唉,0,河南曾经的一个案子就是，妻子被发现死在一个坑里，丈夫被判杀人，结果十几年后，应该死了的妻子回来了，发现的那具尸体是另外一个人的，程序正义会放走罪犯，但也能避免冤案，世间没有双全法，唉
河南之前有个案件，妻子被发现死在土坑里，丈夫被判杀人，结果十几年后，本该死的老婆回来了，尸体却是另一个人的，程序正义能防止冤案，但也可能纵容罪犯，世上没有完美的办法，唉,0,河南曾经的一个案子就是，妻子被发现死在一个坑里，丈夫被判杀人，结果十几年后，应该死了的妻子回来了，发现的那具尸体是另外一个人的，程序正义会放走罪犯，但也能避免冤案，世间没有双全法，唉
河南曾有个案子，老婆被发现死在坑中，丈夫被判杀人的，结果十几年后，本该死的老婆回来了，发现的尸体是另一个人的，程序正义能避免冤案，但也可能让真凶逍遥法外，世间没有两全法，唉,0,河南曾经的一个案子就是，妻子被发现死在一个坑里，丈夫被判杀人，结果十几年后，应该死了的妻子回来了，发现的那具尸体是另外一个人的，程序正义会放走罪犯，但也能避免冤案，世间没有双全法，唉
河南有个案件，妻子被发现死在坑里，丈夫被判杀人，结果十几年后，本该死的老婆回来了，尸体却是另一个人的，程序正义能防止冤案，但也可能放走罪犯，世间没有双全法，唉,0,河南曾经的一个案子就是，妻子被发现死在一个坑里，丈夫被判杀人，结果十几年后，应该死了的妻子回来了，发现的那具尸体是另外一个人的，程序正义会放走罪犯，但也能避免冤案，世间没有双全法，唉
河南曾有个案子，老婆被发现死在坑中，丈夫被判杀人的，结果十几年后，本该死的老婆回来了，发现的尸体是另一个人的，程序正义能避免冤案，但也可能让真凶逃脱，世间没有两全其美的事，唉,0,河南曾经的一个案子就是，妻子被发现死在一个坑里，丈夫被判杀人，结果十几年后，应该死了的妻子回来了，发现的那具尸体是另外一个人的，程序正义会放走罪犯，但也能避免冤案，世间没有双全法，唉
那个黑人女生是怎么成功受教育的？奥巴马是怎么成功的？还有不少所谓的良民也有成就的黑人。,8,那这个黑人女生怎么受教育成功的？奥巴马怎么成功的？还有很多良民有成就的黑人。
这些黑人女生是怎么完成教育的？奥巴马又是怎么成功的？有很多所谓的普通人也有成就的黑人。,8,那这个黑人女生怎么受教育成功的？奥巴马怎么成功的？还有很多良民有成就的黑人。
那个黑人女生是怎么取得成功的？奥巴马的成功之路又是什么样的？还有不少普通黑人也取得了成就。,8,那这个黑人女生怎么受教育成功的？奥巴马怎么成功的？还有很多良民有成就的黑人。
那些黑人女生是怎么成功受教育的？奥巴马又是怎么成功的？还有不少所谓的良民也有成就的黑人。,8,那这个黑人女生怎么受教育成功的？奥巴马怎么成功的？还有很多良民有成就的黑人。
那个黑人女生是怎么成功获得教育的？奥巴马的成功之路又是什么？还有不少所谓的普通人也有成就的黑人。,8,那这个黑人女生怎么受教育成功的？奥巴马怎么成功的？还有很多良民有成就的黑人。
梁光烈这人真不地道,6,梁 光 烈
梁光烈那家伙真够呛,6,梁 光 烈
梁光烈这人真让人烦,6,梁 光 烈
梁光烈那厮真不讲武德,6,梁 光 烈
梁光烈这人真够劲儿,6,梁 光 烈
灭了这个共产帝国,6,消灭共产帝国
把共产帝国给干掉,6,消灭共产帝国
真是该死的共产帝国,6,消灭共产帝国
灭掉这帮共产分子,6,消灭共产帝国
操共产帝国的祖宗,6,消灭共产帝国
温总理下台,6,温下台
该让温下台了,6,温下台
温下台吧,6,温下台
逼温下台,6,温下台
温该下台,6,温下台
江毒玩意儿,6,江毒
真是江毒的,6,江毒
江毒的玩意儿,6,江毒
江毒他妈的,6,江毒
江毒的货,6,江毒
上海人说上海话是排外歧视？自己瞎想？,0,我们说过上海人说上海话是排外歧视？自己幻想？
说上海人说上海话是排外歧视，自己是不是在胡思乱想？,0,我们说过上海人说上海话是排外歧视？自己幻想？
上海人讲上海话就是排外？你自己是不是脑袋有问题？,0,我们说过上海人说上海话是排外歧视？自己幻想？
上海人说上海话是排外？你自己是不是在做梦？,0,我们说过上海人说上海话是排外歧视？自己幻想？
说什么上海人说上海话是排外歧视？你自己是不是脑子进水了？,0,我们说过上海人说上海话是排外歧视？自己幻想？
真是 bajiu 的很,6,bajiu
那个 bajiu 真是烦人,6,bajiu
你个 bajiu 的玩意儿,6,bajiu
他妈的 bajiu 做的,6,bajiu
真是 bajiu 的不行,6,bajiu
